"","x"
"1","kidney"
"2","kidney"
"3","kidney"
"4","kidney"
"5","kidney"
"6","kidney"
"7","kidney"
"8","kidney"
"9","kidney"
"10","kidney"
"11","kidney"
"12","kidney"
"13","kidney"
"14","kidney"
"15","kidney"
"16","kidney"
"17","hippocampus"
"18","hippocampus"
"19","hippocampus"
"20","hippocampus"
"21","hippocampus"
"22","hippocampus"
"23","hippocampus"
"24","hippocampus"
"25","hippocampus"
"26","hippocampus"
"27","hippocampus"
"28","hippocampus"
"29","hippocampus"
"30","hippocampus"
"31","hippocampus"
"32","hippocampus"
"33","hippocampus"
"34","hippocampus"
"35","hippocampus"
"36","hippocampus"
"37","hippocampus"
"38","hippocampus"
"39","hippocampus"
"40","hippocampus"
"41","hippocampus"
"42","hippocampus"
"43","hippocampus"
"44","hippocampus"
"45","hippocampus"
"46","hippocampus"
"47","cerebellum"
"48","cerebellum"
"49","cerebellum"
"50","cerebellum"
"51","cerebellum"
"52","cerebellum"
"53","cerebellum"
"54","cerebellum"
"55","cerebellum"
"56","cerebellum"
"57","cerebellum"
"58","cerebellum"
"59","cerebellum"
"60","cerebellum"
"61","cerebellum"
"62","cerebellum"
"63","cerebellum"
"64","cerebellum"
"65","cerebellum"
"66","cerebellum"
"67","cerebellum"
"68","cerebellum"
"69","cerebellum"
"70","cerebellum"
"71","cerebellum"
"72","cerebellum"
"73","cerebellum"
"74","kidney"
"75","kidney"
"76","kidney"
"77","kidney"
"78","kidney"
"79","kidney"
"80","kidney"
"81","kidney"
"82","kidney"
"83","kidney"
"84","kidney"
"85","kidney"
"86","kidney"
"87","colon"
"88","colon"
"89","colon"
"90","colon"
"91","colon"
"92","colon"
"93","colon"
"94","colon"
"95","colon"
"96","colon"
"97","colon"
"98","colon"
"99","colon"
"100","colon"
"101","colon"
"102","colon"
"103","colon"
"104","colon"
"105","colon"
"106","colon"
"107","colon"
"108","colon"
"109","colon"
"110","colon"
"111","colon"
"112","colon"
"113","colon"
"114","colon"
"115","colon"
"116","colon"
"117","colon"
"118","colon"
"119","colon"
"120","colon"
"121","kidney"
"122","kidney"
"123","kidney"
"124","liver"
"125","liver"
"126","liver"
"127","kidney"
"128","kidney"
"129","kidney"
"130","liver"
"131","liver"
"132","liver"
"133","kidney"
"134","kidney"
"135","cerebellum"
"136","hippocampus"
"137","liver"
"138","liver"
"139","liver"
"140","liver"
"141","liver"
"142","liver"
"143","cerebellum"
"144","cerebellum"
"145","liver"
"146","liver"
"147","kidney"
"148","kidney"
"149","endometrium"
"150","endometrium"
"151","endometrium"
"152","endometrium"
"153","endometrium"
"154","endometrium"
"155","endometrium"
"156","endometrium"
"157","endometrium"
"158","endometrium"
"159","endometrium"
"160","endometrium"
"161","endometrium"
"162","endometrium"
"163","endometrium"
"164","liver"
"165","liver"
"166","liver"
"167","liver"
"168","liver"
"169","liver"
"170","liver"
"171","liver"
"172","liver"
"173","liver"
"174","liver"
"175","liver"
"176","cerebellum"
"177","cerebellum"
"178","cerebellum"
"179","cerebellum"
"180","cerebellum"
"181","cerebellum"
"182","cerebellum"
"183","cerebellum"
"184","placenta"
"185","placenta"
"186","placenta"
"187","placenta"
"188","placenta"
"189","placenta"
